protein;p.value;q.value;sig;sigq;Treatment;mean;sd;n
Flrt2;5,75427549843670e-01;0,74562443078334706;;;Pneumonia + CI;2,363086;0,4336438557503150;5
Qdpr;4,39232360372702e-01;0,64520922073474563;;;Control + CI;3,368498;0,8181376614115743;5
Qdpr;4,39232360372702e-01;0,64520922073474563;;;Pneumonia + CI;3,008406;0,5421298128492844;5
Fas;7,96315444060923e-02;0,36299814916506712;;;Control + CI;2,900746;0,5037173412043704;5
Fas;7,96315444060923e-02;0,36299814916506712;;;Pneumonia + CI;2,374084;0,2052325077320843;5
Erbb4;8,20320454985649e-01;0,90319481583709638;;;Control + CI;3,341094;0,2401811912494399;5
Erbb4;8,20320454985649e-01;0,90319481583709638;;;Pneumonia + CI;3,296332;0,3501572646254821;5
Riox2;2,96089442972141e-01;0,49527688642612677;;;Control + CI;0,270172;0,6991424154061888;5
Riox2;2,96089442972141e-01;0,49527688642612677;;;Pneumonia + CI;0,856766;0,9343041130327963;5
Plxna4;2,12675351946113e-02;0,35819991118473499;*;;Control + CI;3,666804;1,0647383285483809;5
Plxna4;2,12675351946113e-02;0,35819991118473499;*;;Pneumonia + CI;2,008394;0,5369034229542591;5
Epcam;5,14837456067931e-03;0,15788348652749884;**;;Control + CI;1,809760;0,1303263386656742;5
Epcam;5,14837456067931e-03;0,15788348652749884;**;;Pneumonia + CI;2,434644;0,2859542030290865;5
Ccl3;2,74976336065512e-01;0,46847820218568709;;;Control + CI;2,132196;0,1141765156676275;5
Ccl3;2,74976336065512e-01;0,46847820218568709;;;Pneumonia + CI;2,302840;0,2912552948016568;5
Crim1;1,83813728033201e-01;0,38886643976578378;;;Control + CI;0,653822;0,1768350343399181;5
Crim1;1,83813728033201e-01;0,38886643976578378;;;Pneumonia + CI;0,418442;0,3058749929628116;5
Vsig2;1,38456935523364e-01;0,37259425030871263;;;Control + CI;1,103986;0,6190527380441831;5
Vsig2;1,38456935523364e-01;0,37259425030871263;;;Pneumonia + CI;0,576426;0,2943306543328438;5
Hgf;3,67010326015582e-01;0,57228728802429729;;;Control + CI;4,336464;1,1600154045658186;5
Hgf;3,67010326015582e-01;0,57228728802429729;;;Pneumonia + CI;3,652276;1,1017778969374907;5
Sez6l2;9,11665333333596e-01;0,94961416749119554;;;Control + CI;1,924000;0,4488860202768626;5
Sez6l2;9,11665333333596e-01;0,94961416749119554;;;Pneumonia + CI;1,892452;0,4219115621430632;5
Il1a;6,20277434313995e-02;0,36299814916506712;;;Control + CI;5,272910;1,6888643937273353;5
Il1a;6,20277434313995e-02;0,36299814916506712;;;Pneumonia + CI;3,352684;0,5066977571787741;5
Il23r;1,75792461242464e-01;0,38886643976578378;;;Control + CI;3,089910;0,5151755270293806;5
Il23r;1,75792461242464e-01;0,38886643976578378;;;Pneumonia + CI;2,698298;0,2303533912708905;5
Dll1;4,55319980682260e-01;0,65452247223074878;;;Control + CI;1,491440;0,1802096406966064;5
Dll1;4,55319980682260e-01;0,65452247223074878;;;Pneumonia + CI;1,605202;0,2667977231349623;5
Ddah1;1,14743318324757e-01;0,36299814916506712;;;Control + CI;-0,398180;0,0288582856386169;5
Ddah1;1,14743318324757e-01;0,36299814916506712;;;Pneumonia + CI;-0,557786;0,1775760680103037;5
Il10;2,37673889813033e-01;0,42974741316449516;;;Control + CI;0,370870;0,1381596133101132;5
Il10;2,37673889813033e-01;0,42974741316449516;;;Pneumonia + CI;0,496472;0,1703204947151105;5
Tnfrsf12a;1,85284908757190e-01;0,38886643976578378;;;Control + CI;1,271538;0,3057428901381028;5
Tnfrsf12a;1,85284908757190e-01;0,38886643976578378;;;Pneumonia + CI;1,511372;0,1979133319662928;5
Acvrl1;7,51142796043231e-01;0,87474857260730698;;;Control + CI;2,828604;0,1803958133660535;5
Acvrl1;7,51142796043231e-01;0,87474857260730698;;;Pneumonia + CI;2,778332;0,2884256545801708;5
Lgmn;1,13129241388348e-01;0,36299814916506712;;;Control + CI;3,823974;0,2861978486641714;5
Lgmn;1,13129241388348e-01;0,36299814916506712;;;Pneumonia + CI;3,460476;0,3530843765022746;5
Csf2;3,06561186584677e-01;0,50363623510339794;;;Control + CI;-0,081406;0,1994745608592735;5
Csf2;3,06561186584677e-01;0,50363623510339794;;;Pneumonia + CI;0,067100;0,2289565121371305;5
Cxcl9;4,89158109651465e-01;0,66180214835198214;;;Control + CI;3,124512;0,4170920982468980;5
Cxcl9;4,89158109651465e-01;0,66180214835198214;;;Pneumonia + CI;2,790210;0,9197705851732811;5
Map2k6;3,78861409214873e-02;0,35819991118473499;*;;Control + CI;5,899420;1,0631285343974171;5
Map2k6;3,78861409214873e-02;0,35819991118473499;*;;Pneumonia + CI;4,460350;0,6409273711583864;5
Itgb1bp2;7,93874171849303e-01;0,89848800449309807;;;Control + CI;-0,052678;0,3256034090269941;5
Itgb1bp2;7,93874171849303e-01;0,89848800449309807;;;Pneumonia + CI;-0,103496;0,2653561984013186;5
Il17f;1,41747812617445e-01;0,37259425030871263;;;Control + CI;1,171316;1,1269013660831191;5
Il17f;1,41747812617445e-01;0,37259425030871263;;;Pneumonia + CI;0,250534;0,0781857610438115;5
Il1b;1,05238214655773e-01;0,36299814916506712;;;Control + CI;1,471560;0,1116696572485113;5
Il1b;1,05238214655773e-01;0,36299814916506712;;;Pneumonia + CI;1,808760;0,3607237533071532;5
Casp3;1,37099867941872e-01;0,37259425030871263;;;Control + CI;6,989864;0,9294767011765276;5
Casp3;1,37099867941872e-01;0,37259425030871263;;;Pneumonia + CI;6,122368;0,7011212562888105;5
Apbb1ip;2,34836423705796e-01;0,42974741316449516;;;Control + CI;1,285024;0,4269884300306040;5
Apbb1ip;2,34836423705796e-01;0,42974741316449516;;;Pneumonia + CI;0,871726;0,5729733173804867;5
Wisp1;5,99648416564190e-01;0,76419379788186592;;;Control + CI;2,768874;0,2388175702916350;5
Wisp1;5,99648416564190e-01;0,76419379788186592;;;Pneumonia + CI;2,868782;0,3298081168952639;5
Cdh6;1,32883925445894e-01;0,37259425030871263;;;Control + CI;1,297404;0,3121895975685288;5
Cdh6;1,32883925445894e-01;0,37259425030871263;;;Pneumonia + CI;1,681330;0,4027494770325593;5
Pdgfb;4,41828053329228e-01;0,64520922073474563;;;Control + CI;6,927956;1,9435299183521719;5
Pdgfb;4,41828053329228e-01;0,64520922073474563;;;Pneumonia + CI;5,957236;1,8485116427764254;5
Igsf3;9,01153199780584e-01;0,94961416749119554;;;Control + CI;2,426922;0,2513060358805573;5
Igsf3;9,01153199780584e-01;0,94961416749119554;;;Pneumonia + CI;2,449636;0,3056590975744057;5
Tgfbr3;3,92402519835662e-01;0,60168386374801508;;;Control + CI;2,241070;0,2254025810633055;5
Tgfbr3;3,92402519835662e-01;0,60168386374801508;;;Pneumonia + CI;2,101414;0,2612168440778658;5
Cxcl1;7,92798536317655e-01;0,89848800449309807;;;Control + CI;8,297670;1,0278049666400724;5
Cxcl1;7,92798536317655e-01;0,89848800449309807;;;Pneumonia + CI;8,478030;1,0714900609665028;5
Pak4;3,59331536651172e-01;0,56997416158461767;;;Control + CI;-0,186892;0,3022062571655326;5
Pak4;3,59331536651172e-01;0,56997416158461767;;;Pneumonia + CI;-0,002848;0,2962678140973130;5
Cntn4;4,85315414721242e-01;0,66180214835198214;;;Control + CI;2,233774;0,2403173635632681;5
Cntn4;4,85315414721242e-01;0,66180214835198214;;;Pneumonia + CI;2,143064;0,1301634560082053;5
Ghrl;3,27117994832175e-01;0,52797992148351047;;;Control + CI;3,269076;0,2520290219994514;5
Ghrl;3,27117994832175e-01;0,52797992148351047;;;Pneumonia + CI;2,983150;0,5403121067956926;5
Lpl;3,37538399848185e-02;0,35819991118473499;*;;Control + CI;2,000172;0,0931962213289788;5
Lpl;3,37538399848185e-02;0,35819991118473499;*;;Pneumonia + CI;2,229122;0,1650051077088221;5
Fstl3;2,10316790148720e-01;0,41168392965281364;;;Control + CI;4,241712;0,2183128370481224;5
Fstl3;2,10316790148720e-01;0,41168392965281364;;;Pneumonia + CI;4,490056;0,3373006227091792;5
Dctn2;1,70549550900555e-01;0,38886643976578378;;;Control + CI;0,186964;0,2975778071866247;5
Dctn2;1,70549550900555e-01;0,38886643976578378;;;Pneumonia + CI;-0,098114;0,3011036229107846;5
Il5;5,31285840094402e-01;0,70838112012586940;;;Control + CI;0,202260;0,6121160383865138;5
Il5;5,31285840094402e-01;0,70838112012586940;;;Pneumonia + CI;0,566646;1,0681959308947024;5
Eda2r;4,83180438116364e-02;0,36299814916506712;*;;Control + CI;4,996502;0,2489021757036284;5
Eda2r;4,83180438116364e-02;0,36299814916506712;*;;Pneumonia + CI;5,492510;0,3889243274083020;5
Ntf3;6,96447291155456e-01;0,83211884138054482;;;Control + CI;1,059564;0,2084905523758810;5
Ntf3;6,96447291155456e-01;0,83211884138054482;;;Pneumonia + CI;1,110024;0,1851022361561308;5
Tnfsf12;1,28601851140917e-01;0,37259425030871263;;;Control + CI;2,993748;0,1953186769615236;5
Tnfsf12;1,28601851140917e-01;0,37259425030871263;;;Pneumonia + CI;2,709380;0,3108867842961485;5
Ccl20;1,04643949296542e-01;0,36299814916506712;;;Control + CI;8,053500;0,9001856160537117;5
Ccl20;1,04643949296542e-01;0,36299814916506712;;;Pneumonia + CI;7,192488;0,4398772463085579;5
Fli1;8,72887422114988e-02;0,36299814916506712;;;Control + CI;3,394454;2,1693720601777833;5
Fli1;8,72887422114988e-02;0,36299814916506712;;;Pneumonia + CI;1,214452;0,4344914595478259;5
Tpp1;1,60903590894854e-02;0,35819991118473499;*;;Control + CI;4,934072;0,1978103310497204;5
Tpp1;1,60903590894854e-02;0,35819991118473499;*;;Pneumonia + CI;4,584462;0,1599497173176620;5
Tnr;2,36685219083607e-01;0,42974741316449516;;;Control + CI;1,940600;0,1893538012557446;5
Tnr;2,36685219083607e-01;0,42974741316449516;;;Pneumonia + CI;2,074712;0,1347416282000481;5
Vegfd;2,09188463875484e-01;0,41168392965281364;;;Control + CI;2,221512;0,2075959920615039;5
Vegfd;2,09188463875484e-01;0,41168392965281364;;;Pneumonia + CI;2,061808;0,1560763621436635;5
Parp1;9,69931734203989e-01;0,98059032468974716;;;Control + CI;3,067716;0,7181851574837786;5
Parp1;9,69931734203989e-01;0,98059032468974716;;;Pneumonia + CI;3,047748;0,8936598030402845;5
Tnf;2,63933834425109e-01;0,46179868223764048;;;Control + CI;-1,350738;0,1401521486456772;5
Tnf;2,63933834425109e-01;0,46179868223764048;;;Pneumonia + CI;-1,232672;0,1685247179792923;5
